,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lissandra,9,2,7,22.2%,2.33,3.11,6.89,2.96,289.67,8.13,13,364,79.8%,20.2%,21.4%
Yasuo,6,3,3,50%,4.67,2.5,3.83,3.4,334.5,9.16,15.5,424,65.4%,35.9%,23.9%
Zoe,6,2,4,33.3%,1.83,1.83,4,3.18,301.5,8.39,13.1,365,71.4%,22.4%,21.5%
LeBlanc,5,1,4,20%,2.6,2.2,1.6,1.91,259.2,8.4,11.2,362,91.3%,56.5%,22.2%
Galio,3,0,3,0%,0.33,4,3.33,0.92,295,8.42,11.6,331,73.3%,6.7%,20.8%
Aatrox,2,2,0,100%,4.5,1,4.5,9,279.5,8.2,14.1,414,69.2%,34.6%,21.3%
Urgot,2,2,0,100%,4,1.5,8,8,301.5,8.27,14.6,399,63.2%,21.1%,20.1%
Aurelion Sol,2,1,1,50%,3.5,1.5,5,5.67,291,8.77,13.3,401,81%,33.3%,23.4%
Ryze,2,0,2,0%,2,2,3,2.5,325.5,10.31,12.5,396,83.3%,33.3%,23.3%
Sylas,2,0,2,0%,1.5,3,8,3.17,270.5,7.28,12.2,329,65.5%,10.3%,19.6%
Akali,1,0,1,0%,6,3,5,3.67,319,7.72,15.1,366,68.8%,37.5%,19.4%
Azir,1,0,1,0%,2,1,3,5,381,9.8,15.8,407,50%,20%,22.8%
Corki,1,0,1,0%,2,2,1,1.5,298,10.27,11.4,393,42.9%,28.6%,24.2%
