,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Tahm Kench,10,6,4,60%,0.6,2.4,7,3.17,101.6,2.99,9.2,272,63.9%,5%,14.4%
Alistar,8,6,2,75%,0.5,2.88,8.75,3.22,61.38,1.94,7.9,250,73.3%,4%,13.1%
Rakan,5,4,1,80%,1,2.6,10.2,4.31,28,0.82,8.5,250,70%,6.3%,13.1%
Braum,4,3,1,75%,0.25,1,9.75,10,72.75,2.32,8.5,271,87%,2.2%,14.5%
Lux,4,2,2,50%,0.5,3.25,9.75,3.15,30,0.93,8,247,71.9%,3.5%,13.2%
Karma,2,2,0,100%,0.5,3,15,5.17,26,0.7,9.3,252,75.6%,2.4%,12.4%
Sejuani,2,2,0,100%,1.5,1.5,13.5,10,65,2.27,8.2,287,81.1%,8.1%,13.8%
Nautilus,2,1,1,50%,0.5,4,7,1.88,55,1.55,8.2,232,48.4%,3.2%,12.6%
Yuumi,2,1,1,50%,0.5,1,8,8.5,12,0.41,7.5,254,81%,4.8%,14.2%
Leona,1,1,0,100%,1,3,11,4,95,2.45,11.1,287,70.6%,5.9%,14.9%
Pyke,1,0,1,0%,1,6,1,0.33,61,2.16,6.5,230,25%,12.5%,13.8%
Shen,1,0,1,0%,0,5,1,0.2,80,2.38,7.7,230,25%,0%,13.4%
Volibear,1,0,1,0%,2,5,7,1.8,126,2.91,11.8,273,47.4%,10.5%,14.9%
