,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,5,3,2,60%,1.2,3.8,11.2,3.26,156.2,4.51,11,318,73.8%,7.1%,16.5%
Kha'Zix,5,2,3,40%,2.4,2.6,3,2.08,187.2,4.89,11.8,308,58.7%,26.1%,17.1%
Aatrox,3,2,1,66.7%,2,1.67,10,7.2,188.67,6.07,11.4,366,67.9%,11.3%,18.4%
Nocturne,3,2,1,66.7%,2.67,3,9,3.89,155.67,4.75,10.5,321,79.5%,18.2%,17.8%
Riven,3,1,2,33.3%,1.33,3,4.67,2,180.33,4.91,11.7,317,81.8%,18.2%,18.1%
Rek'Sai,2,2,0,100%,2,1,4.5,6.5,174,5.86,10.5,354,72.2%,22.2%,17.9%
Taliyah,2,1,1,50%,1,2,3.5,2.25,212.5,6.65,10.9,343,60%,13.3%,18.8%
Gragas,1,1,0,100%,2,3,7,3,177,4.38,12.4,307,64.3%,14.3%,15.9%
Kayn,1,1,0,100%,2,1,5,7,184,5.2,12.2,346,50%,14.3%,17.5%
Sejuani,1,1,0,100%,1,0,11,12,152,5.15,10.2,344,75%,6.3%,16.4%
Jarvan IV,1,0,1,0%,1,3,0,0.33,140,5.01,7.9,284,100%,100%,18.1%
Zac,1,0,1,0%,2,2,4,3,123,3.82,9.1,282,85.7%,28.6%,15.3%
