,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,9,5,4,55.6%,2,2.67,9.11,4.17,157.11,4.64,10.7,317,76.9%,13.8%,17.1%
Sylas,8,7,1,87.5%,3,2.13,8.63,5.47,175.88,5.36,11.8,361,75.6%,19.5%,18.6%
Sejuani,7,4,3,57.1%,0.86,1.71,5.43,3.67,141.43,4.43,9.2,287,65.7%,9%,15.5%
Jarvan IV,6,5,1,83.3%,1.67,1.33,12.33,10.5,144.83,4.62,10.5,335,90.3%,10.8%,17.1%
Karthus,6,4,2,66.7%,2.17,3.67,7.67,2.68,195.5,5.63,11.7,337,68.6%,15.1%,17.7%
Rek'Sai,2,1,1,50%,2.5,4,2.5,1.25,161,4.88,10.5,318,50%,25%,17%
Gragas,2,0,2,0%,1,4.5,3,0.89,159.5,4.37,9.9,271,44.4%,11.1%,15.8%
Evelynn,1,1,0,100%,3,2,8,5.5,162,4.85,11.4,342,68.8%,18.8%,16.9%
Taliyah,1,1,0,100%,6,2,10,8,187,5.78,12.8,394,80%,30%,19.7%
Trundle,1,0,1,0%,1,4,4,1.25,131,4.21,8.3,266,62.5%,12.5%,16%
