,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,19,14,5,73.7%,2.63,1.89,6.37,4.75,176.26,4.86,12,330,77.4%,22.6%,17.8%
Jarvan IV,8,7,1,87.5%,2.38,0.88,8.63,12.57,195.13,5.61,12.2,350,88%,19%,18.2%
Elise,3,3,0,100%,3,0.67,9.33,18.5,166.33,5.33,11.2,358,80.4%,19.6%,18.5%
Rek'Sai,3,2,1,66.7%,2.67,2,5,3.83,178.33,5.43,10.9,333,53.5%,18.6%,17.5%
Olaf,3,1,2,33.3%,0.67,2,1.33,1,169.67,5.11,9.5,287,50%,16.7%,16.7%
Nocturne,2,2,0,100%,2.5,0.5,9.5,24,207,6.07,12.4,365,68.6%,14.3%,18.6%
Sejuani,2,1,1,50%,1,1.5,4,3.33,180.5,5.27,10.6,309,71.4%,14.3%,17.1%
Xin Zhao,2,1,1,50%,3.5,2.5,3.5,2.8,136,4.98,9.6,351,60.9%,30.4%,18.7%
Gragas,1,0,1,0%,0,4,3,0.75,124,4.11,7.6,253,75%,0%,16.1%
Zac,1,0,1,0%,0,1,9,9,181,5.26,10.9,316,75%,0%,16.4%
