,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sejuani,10,7,3,70%,2.3,1.6,5.7,5,163.6,4.89,11,328,75.5%,21.7%,17.7%
Lee Sin,7,5,2,71.4%,3.43,0.86,5.86,10.83,175.86,5.09,11.9,345,73.9%,27.3%,18.4%
Jarvan IV,5,4,1,80%,1.2,1.4,7.6,6.29,191.2,5.25,11.8,324,89.8%,12.2%,17.4%
Skarner,4,3,1,75%,1,0.75,7.25,11,180.25,5.54,11,338,71.7%,8.7%,17.9%
Elise,3,1,2,33.3%,2.67,4.33,4.67,1.69,154,4.57,10.7,318,61.1%,22.2%,17.6%
Rek'Sai,3,0,3,0%,0.67,3.67,3.67,1.18,174,5.25,10.1,305,59.1%,9.1%,18%
Trundle,2,2,0,100%,1.5,1.5,5.5,4.67,172.5,5.22,10.9,329,66.7%,14.3%,17.1%
Gragas,2,1,1,50%,1,3,7,2.67,172,4.79,10.8,302,76.2%,9.5%,16.8%
Xin Zhao,2,1,1,50%,1.5,2,6,3.75,218,6.09,12.3,345,75%,15%,18.8%
Sylas,1,1,0,100%,2,1,6,8,204,5.81,11.4,324,57.1%,14.3%,17%
