,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rek'Sai,6,6,0,100%,5.5,0.67,4,14.25,207,6.2,13.5,403,60%,34.7%,20%
Aatrox,6,4,2,66.7%,0.67,1.5,3.83,3,204.17,5.73,11.5,323,50.9%,7.5%,17.7%
Gragas,5,4,1,80%,4.4,0.8,8.2,15.75,184.8,5.65,12.2,373,87.5%,30.6%,19.8%
Jax,5,4,1,80%,1.8,2.2,7.2,4.09,214,5.93,12.7,351,64.3%,12.9%,18.7%
Jarvan IV,4,3,1,75%,2,3,9.25,3.75,176.5,5.22,11.4,339,86.5%,15.4%,18.2%
Camille,2,2,0,100%,6.5,2,5.5,6,174.5,5.8,12.7,423,63.2%,34.2%,20.8%
Lee Sin,2,1,1,50%,1.5,2.5,5.5,2.8,147.5,4.93,9.4,313,51.9%,11.1%,16.8%
Xin Zhao,2,1,1,50%,1.5,4,2,0.88,179,4.8,10.7,286,46.7%,20%,16.4%
Sejuani,2,0,2,0%,0,2.5,1.5,0.6,136.5,4.78,7.7,269,42.9%,0%,16.6%
Zac,2,0,2,0%,1,3.5,2.5,1,129.5,3.92,8.9,269,58.3%,16.7%,16.7%
Karthus,1,1,0,100%,4,5,6,2,250,6.06,16.2,394,66.7%,26.7%,20%
Olaf,1,1,0,100%,1,4,10,2.75,198,4.33,13.6,297,61.1%,5.6%,15.2%
Kha'Zix,1,0,1,0%,2,6,4,1,134,4.73,8.5,301,66.7%,22.2%,18.5%
