,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lucian,7,5,2,71.4%,2.71,1.57,5.14,5,333.86,10.04,14.7,442,63.2%,21.8%,23.1%
Ezreal,6,5,1,83.3%,3.33,1.17,7.17,9,321.17,9.7,15.7,474,73.3%,23.3%,24.3%
Kai'Sa,5,2,3,40%,4,2.8,3.4,2.64,369.8,10.18,16.5,454,77.1%,41.7%,26.5%
Xayah,4,2,2,50%,4.75,1,3.75,8.5,412.75,11.05,17.6,471,87.2%,48.7%,26.4%
Ashe,3,2,1,66.7%,4.67,2,6,5.33,366,9.52,17,441,80%,35%,23.6%
Kalista,3,2,1,66.7%,1.33,3.67,6,2,263.67,8.95,11.5,390,62.9%,11.4%,21.4%
Jinx,2,2,0,100%,5,1,4.5,9.5,321.5,11.1,14.8,512,86.4%,45.5%,25.4%
Sivir,2,2,0,100%,2.5,0,3,11,457,12.15,18.7,497,61.1%,27.8%,27.1%
Kog'Maw,1,1,0,100%,7,3,12,6.33,325,9.4,16.9,489,82.6%,30.4%,23.9%
Tristana,1,1,0,100%,6,1,7,13,244,9.61,13.3,523,86.7%,40%,24.8%
Varus,1,1,0,100%,5,1,10,15,262,10.03,12.9,495,88.2%,29.4%,22.5%
Viktor,1,1,0,100%,2,0,6,8,291,9.11,15,469,80%,20%,24.7%
Ziggs,1,1,0,100%,1,2,7,4,303,9.17,12.2,371,40%,5%,19.4%
Caitlyn,1,0,1,0%,2,3,3,1.67,393,11.2,15.3,436,83.3%,33.3%,26.2%
Cassiopeia,1,0,1,0%,7,4,2,2.25,345,8.36,16.6,403,52.9%,41.2%,24.7%
