,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Varus,9,2,7,22.2%,2.67,1.78,4.33,3.94,325,9.15,14.2,401,70%,26.7%,23.6%
Sivir,8,5,3,62.5%,5.5,2.25,4.5,4.44,376.13,10.39,17.1,472,80%,44%,26.2%
Xayah,7,5,2,71.4%,3.71,2,4.86,4.29,338,10.04,14.9,441,66.7%,28.9%,24.1%
Ezreal,6,3,3,50%,2.17,2,2.33,2.25,295.17,9.79,13.4,444,73%,35.1%,25.1%
Jinx,3,3,0,100%,3,2.67,9.33,4.63,385.67,10.03,17.8,464,74%,18%,23.5%
Kai'Sa,3,1,2,33.3%,2.67,2.33,3.67,2.71,332.67,9.72,14.3,417,55.9%,23.5%,23.8%
Lucian,3,1,2,33.3%,1.67,2.33,3.33,2.14,341,10.5,14,432,68.2%,22.7%,25.6%
Sona,3,1,2,33.3%,1.67,3.33,6.67,2.5,154.67,5.35,11.6,399,83.3%,16.7%,22.5%
Morgana,1,1,0,100%,1,3,15,5.33,211,6.87,11.3,368,72.7%,4.5%,18.7%
Viktor,1,1,0,100%,3,2,8,5.5,172,6.39,11.1,411,73.3%,20%,19.4%
Ashe,1,0,1,0%,0,3,4,1.33,286,8.84,11.6,358,66.7%,0%,22.6%
Tristana,1,0,1,0%,3,1,3,6,374,10.02,15.7,420,85.7%,42.9%,24.4%
