,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,8,8,0,100%,2.88,1.38,6,6.45,306.63,9.45,14.2,437,65.1%,21.1%,22.5%
Corki,6,3,3,50%,1.67,2.17,2.67,2,356.17,9.96,14.7,411,55.3%,21.3%,22.4%
Neeko,5,5,0,100%,2.2,2,7.8,5,318.4,8.49,14.9,396,73.5%,16.2%,20.9%
Akali,5,3,2,60%,2.8,2.8,3.4,2.21,324.8,9.24,14.2,404,56.4%,25.5%,21.8%
Sylas,3,2,1,66.7%,4.67,1.67,3.67,5,317.33,9.56,14.3,432,65.8%,36.8%,23.7%
Karma,3,1,2,33.3%,1,1.67,5.67,4,289.33,8.12,12.9,361,69%,10.3%,20.3%
LeBlanc,2,2,0,100%,1.5,0,6,15,235,7.96,10.8,366,55.6%,11.1%,18.3%
Yasuo,2,1,1,50%,3,2.5,4.5,3,315,9.02,14.2,408,51.7%,20.7%,22.5%
Zoe,2,1,1,50%,0,1.5,2.5,1.67,284,9.33,11.2,368,41.7%,0%,21.4%
Ryze,2,0,2,0%,0.5,4,3.5,1,354.5,9.3,14.3,375,61.5%,7.7%,22.1%
Camille,1,0,1,0%,0,2,2,1,269,8.57,11.1,352,25%,0%,19.9%
Irelia,1,0,1,0%,4,6,2,1,399,8.38,18.2,382,60%,40%,22.5%
Lulu,1,0,1,0%,3,2,2,2.5,272,8.93,12.5,411,100%,60%,25.7%
Taliyah,1,0,1,0%,0,1,3,3,302,8.9,11.5,339,100%,0%,21.3%
