,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lux,8,1,7,12.5%,0.38,2.5,5.38,2.3,23.5,0.66,8,224,79.3%,5.2%,13.4%
Tahm Kench,7,0,7,0%,0.14,3,2,0.71,66.57,2.11,6.9,219,41.7%,2.8%,13.8%
Yuumi,4,1,3,25%,0.25,1.5,6.25,4.33,12.75,0.36,7.6,217,65%,2.5%,12.8%
Nautilus,4,0,4,0%,0.75,3,2.25,1,58.25,1.7,7.7,226,46.2%,11.5%,13.4%
Morgana,2,0,2,0%,1,3,11,4,31.5,0.75,10.2,244,88.9%,7.4%,14%
Volibear,2,0,2,0%,0.5,5,2.5,0.6,61,1.95,6.5,206,54.5%,9.1%,13.1%
Blitzcrank,1,0,1,0%,0,9,2,0.22,41,0.94,8,183,50%,0%,12.2%
Karma,1,0,1,0%,0,6,2,0.33,14,0.6,4.7,202,100%,0%,14.1%
Rakan,1,0,1,0%,0,5,2,0.4,15,0.52,5.7,197,100%,0%,13.5%
Thresh,1,0,1,0%,2,5,15,3.4,37,0.97,8.1,212,85%,10%,13.3%
