,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jayce,8,5,3,62.5%,3.5,1.88,4.5,4.27,328.63,8.85,16,430,71.9%,31.5%,23%
Viktor,6,3,3,50%,1.67,2,5,3.33,253.67,8.43,11.9,395,69%,17.2%,22.2%
Fiora,5,5,0,100%,2.6,0.8,3.2,7.25,333.8,10.54,14.9,469,39.2%,17.6%,23.4%
Aatrox,5,4,1,80%,2,2.2,6.8,4,326.4,9.01,14.8,407,63.8%,14.5%,21.7%
Urgot,5,4,1,80%,3.4,2,3.8,3.6,327.8,8.08,16.1,397,60%,28.3%,21.4%
Vladimir,4,4,0,100%,4.25,0.25,4.5,35,298.75,9.01,14.2,429,56.5%,27.4%,21.8%
Ryze,2,2,0,100%,2.5,1,3,5.5,291.5,9.54,13.5,441,52.4%,23.8%,22.1%
Riven,2,1,1,50%,2.5,1,6,8.5,373,10.08,16.2,439,94.4%,27.8%,23.8%
Sion,2,1,1,50%,1.5,2,5,3.25,284,7.79,12.8,352,59.1%,13.6%,19.9%
Akali,1,1,0,100%,2,1,2,4,290,9.76,12.2,410,28.6%,14.3%,20.8%
Kennen,1,1,0,100%,3,0,5,8,262,9.1,13.4,464,66.7%,25%,23.7%
Gangplank,1,0,1,0%,2,5,1,0.6,231,7.66,10.9,360,75%,50%,22.9%
Irelia,1,0,1,0%,0,3,2,0.67,260,8.73,10.2,342,33.3%,0%,21.9%
Sylas,1,0,1,0%,0,4,1,0.25,273,7.43,11.1,303,100%,0%,19.3%
