,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,7,3,4,42.9%,2.71,2.57,5.29,3.11,335.57,8.5,15.7,397,57.7%,19.6%,22.4%
Camille,6,4,2,66.7%,2.33,1,4.5,6.83,267.33,8.1,12.8,388,59.4%,20.3%,21.6%
Kennen,2,1,1,50%,3,0.5,1,8,262,9.19,11.8,414,44.4%,33.3%,22.8%
Renekton,2,1,1,50%,4.5,1.5,4.5,6,319.5,8.02,16.9,424,46.2%,23.1%,22.3%
Sylas,2,1,1,50%,1,2.5,4,2,343,8.53,14.8,369,62.5%,12.5%,21.2%
Neeko,1,1,0,100%,2,0,3,5,395,9.18,17.8,414,71.4%,28.6%,22.2%
Pyke,1,1,0,100%,5,1,4,9,264,8.47,13.8,443,56.3%,31.3%,21.6%
Jax,1,0,1,0%,1,3,0,0.33,313,9.36,12.5,375,50%,50%,25.1%
Jayce,1,0,1,0%,1,3,1,0.67,209,7.83,9,338,66.7%,33.3%,23%
Karma,1,0,1,0%,3,2,5,4,215,6.3,12,351,80%,30%,22.4%
