,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,6,3,3,50%,3,1.5,3,4,254.67,7.76,12,366,69.2%,34.6%,20.6%
Lissandra,5,3,2,60%,2.2,2.2,6.8,4.09,305.6,9.29,13.2,401,77.6%,19%,21.8%
Zoe,2,1,1,50%,1.5,2,3,2.25,255,8.87,10.4,363,69.2%,23.1%,21.2%
Ryze,2,0,2,0%,3.5,1.5,1,3,335.5,9.76,14,406,81.8%,63.6%,24.7%
Galio,1,1,0,100%,4,2,9,6.5,264,7.12,13.9,375,81.3%,25%,18.8%
Sylas,1,1,0,100%,1,0,1,2,292,8.63,12.9,381,28.6%,14.3%,19.6%
Akali,1,0,1,0%,2,2,1,1.5,250,8.51,10.4,355,75%,50%,22.5%
Malzahar,1,0,1,0%,3,3,1,1.33,233,8.04,10.4,360,66.7%,50%,23.5%
Sion,1,0,1,0%,0,4,3,0.75,280,7.67,11.1,304,100%,0%,18.4%
Syndra,1,0,1,0%,0,3,1,0.33,261,8.77,9.6,322,100%,0%,21.7%
Yasuo,1,0,1,0%,2,3,1,1,216,7.5,9.8,340,100%,66.7%,22%
