,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,5,2,3,40%,4.2,2.2,2.2,2.91,262.6,8.36,12.2,390,76.2%,50%,23%
Taliyah,2,1,1,50%,2.5,1.5,3.5,4,258,7.68,11.7,348,75%,31.3%,21.2%
Corki,2,0,2,0%,1,2.5,2.5,1.4,468.5,11.05,19.7,465,77.8%,22.2%,27.4%
Qiyana,2,0,2,0%,3,2,1.5,2.25,210,7.09,10.1,340,64.3%,42.9%,21.5%
Ryze,2,0,2,0%,1.5,3.5,1.5,0.86,240.5,7.85,10.7,351,50%,25%,22.8%
Yasuo,2,0,2,0%,2.5,3.5,3.5,1.71,289,8.22,13.1,373,52.2%,21.7%,22.5%
Zoe,2,0,2,0%,0.5,3,1,0.5,205,7.69,8.6,322,50%,16.7%,21.1%
Fizz,1,1,0,100%,5,4,7,3,339,6.78,18.1,361,75%,31.3%,20.1%
Irelia,1,1,0,100%,1,1,4,5,251,8.74,11.7,405,83.3%,16.7%,21.1%
LeBlanc,1,1,0,100%,4,0,7,11,251,7.5,13.8,412,84.6%,30.8%,22.4%
Sylas,1,0,1,0%,2,2,4,3,259,8.14,11.1,349,85.7%,28.6%,21.1%
Vel'Koz,1,0,1,0%,3,2,5,4,256,8.28,10.9,354,100%,37.5%,21.9%
