,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Tahm Kench,13,5,8,38.5%,0.46,1.69,4.85,3.14,82.46,2.67,8.2,266,61.6%,5.4%,15.1%
Yuumi,10,3,7,30%,0.7,1,4.2,4.9,9.4,0.29,7.3,224,87.5%,12.5%,13.6%
Rakan,8,7,1,87.5%,0.63,1,8,8.63,23.13,0.63,9,247,71.9%,5.2%,13.1%
Lux,3,2,1,66.7%,0.33,0.33,8,25,23.67,0.67,8.5,241,92.6%,3.7%,14%
Braum,3,1,2,33.3%,0.33,2.33,7.33,3.29,61.67,1.83,8,236,88.5%,3.8%,13.6%
Nautilus,2,2,0,100%,1,0,8,18,50,1.64,7.9,259,85.7%,9.5%,13.7%
Volibear,2,1,1,50%,0,3,10.5,3.5,68,1.94,8.8,249,84%,0%,13.8%
Galio,1,1,0,100%,0,3,10,3.33,99,2.18,11.3,249,83.3%,0%,14%
Gragas,1,1,0,100%,5,1,2,7,88,2.69,10.3,316,41.2%,29.4%,15.3%
Jarvan IV,1,1,0,100%,3,2,8,5.5,12,0.43,7.7,275,78.6%,21.4%,14.5%
