,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Akali,4,2,2,50%,3.25,1.25,2.75,4.8,255.75,8.17,-,-,49%,26.5%,-
Kennen,4,2,2,50%,3.25,3.25,6.25,2.92,217.75,7.57,-,-,74.5%,25.5%,-
Irelia,3,3,0,100%,4.33,1,2.67,7,270.33,9.07,-,-,36.8%,22.8%,-
Yorick,3,2,1,66.7%,1.33,1,2.33,3.67,231.33,8.76,-,-,36.7%,13.3%,-
Jayce,3,1,2,33.3%,2.33,2.67,4.67,2.63,248,8.74,11.6,407,63.6%,21.2%,22.5%
Aatrox,2,2,0,100%,1,1,8,9,290,7.8,13.5,362,51.4%,5.7%,18.8%
Sylas,2,2,0,100%,2.5,2.5,10.5,5.2,251.5,7.13,13.4,381,68.4%,13.2%,19.7%
Urgot,2,1,1,50%,4,4,3,1.75,230.5,7.72,11.2,376,50%,28.6%,20.2%
Ryze,2,0,2,0%,1.5,4,4,1.38,240,7.69,-,-,47.8%,13%,-
Vladimir,2,0,2,0%,0,2.5,2.5,1,226.5,8.16,-,-,50%,0%,-
Gnar,1,1,0,100%,2,3,7,3,192,8.28,9.4,405,47.4%,10.5%,19.3%
Kayle,1,1,0,100%,4,2,8,6,266,9.61,-,-,85.7%,28.6%,-
Renekton,1,1,0,100%,7,3,9,5.33,268,6.97,16,415,72.7%,31.8%,22.4%
Sion,1,1,0,100%,4,2,15,9.5,213,6.77,13,413,76%,16%,20%
Fiora,1,0,1,0%,4,3,5,3,423,10.89,-,-,69.2%,30.8%,-
Karma,1,0,1,0%,2,4,6,2,193,6.36,-,-,61.5%,15.4%,-
Poppy,1,0,1,0%,0,3,0,0,181,5.56,-,-,0%,0%,-
