,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,10,4,6,40%,1.3,1.8,4.3,3.11,182.9,4.88,11.4,304,60.2%,14%,17.5%
Olaf,7,4,3,57.1%,1.43,1.43,3.29,3.3,180.14,5.62,10.2,317,67.3%,20.4%,17.9%
Jarvan IV,7,2,5,28.6%,1.57,3.43,7.57,2.67,178.43,4.7,11.3,299,86.5%,14.9%,17.1%
Sejuani,5,1,4,20%,0.6,1.2,3.6,3.5,154.8,4.95,9.1,290,56.8%,8.1%,17%
Zac,4,3,1,75%,0.75,1.75,5.75,3.71,166.75,4.66,10.7,299,66.7%,7.7%,15.8%
Nocturne,4,0,4,0%,1,2.5,3.5,1.8,181.5,5.19,10.4,298,69.2%,15.4%,17.8%
Xin Zhao,3,1,2,33.3%,0.33,2.33,3.33,1.57,179,5.66,9.6,304,47.8%,4.3%,17.5%
Elise,2,1,1,50%,1,1.5,6.5,5,218.5,5.49,12.7,319,88.2%,11.8%,17.7%
Camille,1,0,1,0%,0,5,4,0.8,162,4.38,9.5,257,66.7%,0%,15.4%
Rek'Sai,1,0,1,0%,1,4,6,1.75,200,4.94,11.5,285,43.8%,6.3%,15.8%
