,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Camille,9,6,3,66.7%,3.56,2.56,6,3.74,290.56,8.34,14.1,405,64.7%,24.1%,22.1%
Akali,6,3,3,50%,3,2.5,3.17,2.47,307.17,8.24,14.1,377,48.7%,23.7%,21.1%
Neeko,5,3,2,60%,2.8,2.4,3,2.42,260.2,8.29,12.2,390,65.9%,31.8%,20.9%
Aatrox,5,2,3,40%,2.2,3.4,3,1.53,285.8,8.45,12.7,374,53.1%,22.4%,21.9%
Vladimir,5,2,3,40%,3,3.6,4.2,2,312.6,8.67,14.2,394,64.3%,26.8%,22.7%
Kennen,4,2,2,50%,3,2.5,3,2.4,301.25,9.35,13.4,417,68.6%,34.3%,23.6%
Kled,4,2,2,50%,2,1.75,4.25,3.57,286.75,8.58,13.3,397,59.5%,19%,21.9%
Irelia,2,1,1,50%,5.5,3.5,6,3.29,290,9.13,14.2,448,88.5%,42.3%,24.2%
Sylas,2,1,1,50%,1,3.5,4,1.43,234,8.13,10.4,362,71.4%,14.3%,21.3%
Jayce,1,1,0,100%,3,1,8,11,225,8.13,11.8,426,68.8%,18.8%,21.9%
Gangplank,1,0,1,0%,0,4,0,0,353,9.79,15.6,432,0%,0%,25.2%
Gragas,1,0,1,0%,1,3,3,1.33,226,6.99,10.1,311,66.7%,16.7%,19.6%
Ryze,1,0,1,0%,1,4,1,0.5,286,8.89,12.1,375,50%,25%,22.3%
