,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Corki,9,8,1,88.9%,4.44,0.78,6.56,14.14,340,10.58,15.5,482,76.2%,30.8%,24.5%
Akali,9,5,4,55.6%,5.22,0.89,5.22,11.75,306.33,9.12,14.2,423,81%,40.5%,23.1%
LeBlanc,5,2,3,40%,3.8,1.6,5,5.5,282.4,8.47,13.1,394,68.8%,29.7%,21.2%
Camille,4,3,1,75%,3,1.5,4.25,4.83,315.75,9.31,14.5,426,63%,26.1%,22.3%
Irelia,3,1,2,33.3%,3.33,1.33,2,4,270,9.78,11.7,424,55.2%,34.5%,23.6%
Karma,2,2,0,100%,1,0.5,6.5,15,247.5,8.36,11.5,388,55.6%,7.4%,20.1%
Vladimir,2,2,0,100%,5,1,8,13,317,8.66,16.2,443,74.3%,28.6%,22.7%
Aatrox,2,1,1,50%,2,1,1.5,3.5,345,9.83,14.1,403,41.2%,23.5%,21.7%
Zoe,2,1,1,50%,3,1.5,10,8.67,271,7.49,13.6,374,65%,15%,19.7%
Azir,2,0,2,0%,1.5,4.5,3.5,1.11,315,9.91,12.8,404,76.9%,23.1%,24.2%
Jayce,1,1,0,100%,1,0,5,6,283,9.29,12,393,54.5%,9.1%,19.8%
Renekton,1,1,0,100%,1,1,9,10,280,8.66,12.6,390,50%,5%,19.6%
Sylas,1,1,0,100%,6,3,15,7,277,8.1,14.8,432,84%,24%,20.9%
Ryze,1,0,1,0%,3,3,6,3,330,8.76,15.4,410,90%,30%,24.5%
