,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,10,6,4,60%,2.2,1.7,3.9,3.59,297,9.16,12.8,396,63.5%,22.9%,21.6%
Jayce,9,6,3,66.7%,3.78,1.89,4.78,4.53,364.44,9.41,16.8,435,71.3%,31.5%,23.3%
Yorick,5,5,0,100%,3,0.6,3.8,11.33,278.4,8.91,13.5,433,56.7%,25%,22.1%
Urgot,5,4,1,80%,4.2,2.6,5.8,3.85,295,7.87,15.2,404,68.5%,28.8%,21.2%
Ryze,4,0,4,0%,1.25,3.5,1.25,0.71,311,9.17,12.9,379,50%,25%,23%
Sylas,3,2,1,66.7%,1.33,2.67,5.67,2.63,303,8.52,13.1,369,44.7%,8.5%,19.5%
Akali,2,2,0,100%,3.5,0.5,5,17,291,8.8,13.9,421,60.7%,25%,20.7%
Darius,2,2,0,100%,2,1.5,3.5,3.67,301,9.17,13.2,403,64.7%,23.5%,21.5%
Viktor,1,1,0,100%,4,1,5,9,290,9.88,12.4,422,64.3%,28.6%,20.3%
Irelia,1,0,1,0%,2,3,2,1.33,379,9.59,15.5,393,40%,20%,22.5%
Renekton,1,0,1,0%,0,2,1,0.5,204,8.64,7.4,315,33.3%,0%,21%
