,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jayce,9,6,3,66.7%,2.44,2.67,4.78,2.71,313.56,9.17,14.2,414,72.2%,24.4%,22.9%
Aatrox,7,4,3,57.1%,2.86,2.71,3.71,2.42,272.71,8.66,12.6,399,63.9%,27.8%,21.9%
Renekton,7,4,3,57.1%,2.29,2.29,5,3.19,302.29,8.72,13.5,389,59.3%,18.6%,21%
Sylas,4,3,1,75%,1.75,2.25,5.5,3.22,271,8.64,12.7,404,65.9%,15.9%,21.3%
Karma,4,2,2,50%,1,3.5,5.75,1.93,284.5,8.13,13.2,377,81.8%,12.1%,21.3%
Kennen,4,2,2,50%,1.75,3.25,2.5,1.31,274,8.93,12.2,399,45.9%,18.9%,22.3%
Irelia,3,1,2,33.3%,2.33,3,2.33,1.56,351.33,9.42,15.2,406,70%,35%,23.9%
Neeko,2,1,1,50%,2.5,3.5,4.5,2,336,8.53,15.8,400,73.7%,26.3%,23.5%
Pyke,1,1,0,100%,5,2,4,4.5,340,6.88,18.3,371,64.3%,35.7%,19.9%
Ryze,1,1,0,100%,2,2,6,4,193,8.28,9,386,80%,20%,19.4%
Sejuani,1,1,0,100%,1,1,9,10,211,5.68,12.3,331,45.5%,4.5%,17.2%
Vladimir,1,1,0,100%,5,4,8,3.25,340,7.87,18.6,431,81.3%,31.3%,24.2%
Kled,1,0,1,0%,4,1,3,7,250,9.1,11.7,426,87.5%,50%,23.2%
