,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,15,12,3,80%,3.93,0.87,4.07,9.23,343.6,10.55,15.4,473,62.8%,30.9%,24.7%
Kalista,5,4,1,80%,3.8,1.8,6.2,5.56,421.2,11.11,17.7,468,73.5%,27.9%,25.4%
Kai'Sa,5,2,3,40%,2.8,1,2,4.8,401.2,11.26,15.8,444,66.7%,38.9%,25.7%
Xayah,3,3,0,100%,3.67,0.67,6,14.5,426.67,11.25,18.5,488,78.4%,29.7%,26%
Sivir,3,2,1,66.7%,4,0.67,4.67,13,375.33,11.29,15.5,466,66.7%,30.8%,25.2%
Lucian,3,1,2,33.3%,3.33,1,3.33,6.67,363,10.58,15.5,453,58.8%,29.4%,23.9%
Varus,2,2,0,100%,4,0.5,4,16,344,11.11,15.1,487,88.9%,44.4%,24.8%
Vayne,2,1,1,50%,4.5,2,3,3.75,325.5,8.67,15.9,423,60%,36%,23.6%
Ashe,1,1,0,100%,4,0,6,10,304,10.86,13.3,473,66.7%,26.7%,23.5%
Draven,1,1,0,100%,2,0,4,6,414,11.08,19.3,517,40%,13.3%,25.7%
Tristana,1,1,0,100%,6,0,4,10,449,11.26,19.8,496,90.9%,54.5%,26.5%
Vladimir,1,1,0,100%,6,2,6,6,326,9.33,15.3,438,70.6%,35.3%,21.8%
Cassiopeia,1,0,1,0%,1,3,1,0.67,265,9.19,10.5,364,50%,25%,23.5%
Viktor,1,0,1,0%,0,2,0,0,389,10.55,14.3,389,-nan%,-nan%,23.2%
