,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Alistar,7,4,3,57.1%,0.71,4,8,2.18,63.71,1.95,8.8,269,64.9%,5.3%,15%
Galio,5,4,1,80%,0.8,1.2,12,10.67,75.8,2.11,9.9,276,82.1%,5.1%,14.8%
Thresh,5,2,3,40%,0.8,3.8,7.8,2.26,42.2,1.28,7.7,232,68.3%,6.3%,13.4%
Pantheon,3,3,0,100%,3,3.33,11,4.2,152.33,3.34,13.7,301,61.8%,13.2%,16%
Tahm Kench,3,2,1,66.7%,0.67,5.67,7.67,1.47,84.33,2.03,11.5,278,67.6%,5.4%,15.7%
Braum,3,0,3,0%,0,4,2.33,0.58,68.67,1.94,7.7,218,43.8%,0%,13.8%
Soraka,2,0,2,0%,0,3.5,2,0.57,11.5,0.39,5.5,184,66.7%,0%,12.3%
Gragas,1,1,0,100%,1,0,6,7,17,0.59,8.1,278,58.3%,8.3%,13.6%
Mordekaiser,1,1,0,100%,3,3,8,3.67,130,3.94,10.9,329,84.6%,23.1%,16.7%
Ezreal,1,0,1,0%,0,4,3,0.75,215,7.34,9.8,333,25%,0%,19.2%
Pyke,1,0,1,0%,0,3,3,1,41,1.64,5.7,227,50%,0%,15.1%
Xayah,1,0,1,0%,1,2,2,1.5,207,7.86,8.6,326,100%,33.3%,22.3%
