,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gragas,3,3,0,100%,2.67,1.67,7,5.8,175.33,6,10.9,372,64.4%,17.8%,18.4%
Camille,3,2,1,66.7%,3,3.67,7,2.73,164,4.75,11.1,321,61.2%,18.4%,17.3%
Rek'Sai,2,2,0,100%,5.5,2,7.5,6.5,182.5,6.65,12.1,441,89.7%,37.9%,22.3%
Sejuani,2,2,0,100%,3.5,1,11.5,15,168,4.95,12.2,358,78.9%,18.4%,18.5%
Nocturne,2,1,1,50%,5,4.5,7.5,2.78,244,5.55,15.4,351,64.1%,25.6%,19.7%
Aatrox,1,1,0,100%,9,1,12,21,161,6.22,12.2,473,87.5%,37.5%,22.7%
Kayn,1,1,0,100%,6,1,3,9,186,6.17,12.2,404,100%,66.7%,20.9%
Lee Sin,1,1,0,100%,3,1,7,10,198,6,13.3,404,83.3%,25%,20.5%
Olaf,1,1,0,100%,10,2,12,11,242,5.67,17.2,404,91.7%,41.7%,21.7%
Kindred,1,0,1,0%,0,4,0,0,136,5.56,7,285,0%,0%,18.4%
Xin Zhao,1,0,1,0%,2,8,11,1.63,172,3.73,12.7,275,61.9%,9.5%,15.3%
