,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,4,1,3,25%,2.5,1.75,3,3.14,139.75,5.05,9.3,334,78.6%,35.7%,19.3%
Karthus,3,3,0,100%,5.67,0.67,4.33,15,211.33,6.14,13.7,397,69.8%,39.5%,20.5%
Nocturne,3,2,1,66.7%,3.33,2,6.33,4.83,161.33,4.47,11.1,306,64.4%,22.2%,16.6%
Zac,2,1,1,50%,0.5,2,6,3.25,144,4.38,9.4,287,76.5%,5.9%,17.1%
Elise,1,1,0,100%,4,1,5,9,152,4.92,11,355,75%,33.3%,18.2%
Olaf,1,1,0,100%,2,1,11,13,159,4.65,10.7,314,65%,10%,15.9%
Sejuani,1,1,0,100%,1,0,10,11,173,4.94,11.3,323,64.7%,5.9%,16.2%
Skarner,1,1,0,100%,1,0,6,7,153,5.62,9.3,343,50%,7.1%,17.1%
Kha'Zix,1,0,1,0%,1,3,2,1,135,4.64,8.3,284,50%,16.7%,17%
Xin Zhao,1,0,1,0%,2,3,3,1.67,147,4.52,9.4,288,45.5%,18.2%,16.9%
