,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lissandra,3,1,2,33.3%,1,1.33,5.67,5,334.33,9.86,13.2,390,74.1%,11.1%,22.8%
Akali,2,1,1,50%,4.5,0.5,3.5,16,321,9.76,14.1,428,88.9%,50%,23.4%
Syndra,2,0,2,0%,5,2.5,2,2.8,380.5,9.2,16.7,403,46.7%,33.3%,24.4%
Galio,1,1,0,100%,5,0,5,10,348,8.9,16.7,426,71.4%,35.7%,22.9%
Vladimir,1,1,0,100%,3,0,4,7,358,10.22,15.9,454,43.8%,18.8%,23.2%
Yasuo,1,1,0,100%,2,1,7,9,287,9.43,13.3,437,60%,13.3%,22.8%
Corki,1,0,1,0%,1,2,1,1,331,9.39,13.6,386,50%,25%,23.7%
LeBlanc,1,0,1,0%,2,2,1,1.5,323,7.86,14.5,352,42.9%,28.6%,20.9%
Orianna,1,0,1,0%,2,4,1,0.75,366,9.44,15.2,393,25%,16.7%,22.8%
Ryze,1,0,1,0%,7,4,3,2.5,310,9.18,15.4,456,76.9%,53.8%,27%
Sylas,1,0,1,0%,1,2,2,1.5,399,10.73,15,404,25%,8.3%,22.5%
Zoe,1,0,1,0%,2,4,5,1.75,369,7.19,17.1,333,100%,28.6%,19.9%
