,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,3,2,1,66.7%,5.33,0.33,7,37,320.33,8.45,16.1,425,74%,32%,23.4%
Lucian,3,1,2,33.3%,2.33,1.67,4,3.8,364.33,9.86,15.7,424,65.5%,24.1%,23.4%
Varus,2,2,0,100%,2,1.5,4,4,346,9.9,15,429,54.5%,18.2%,23.1%
Ashe,2,1,1,50%,1.5,2,3.5,2.5,324.5,9.32,13.8,396,58.8%,17.6%,22.5%
Draven,2,1,1,50%,1,0.5,3.5,9,342,9.91,15.6,451,60%,13.3%,25.2%
Kalista,2,1,1,50%,1.5,0.5,4,11,380.5,10.15,15.5,413,50%,13.6%,22.9%
Jinx,1,1,0,100%,9,0,5,14,390,10.28,19.2,506,82.4%,52.9%,27.6%
Kai'Sa,1,0,1,0%,1,3,5,2,300,8.92,12.4,368,60%,10%,23%
Tristana,1,0,1,0%,0,4,2,0.5,373,9.95,15,401,28.6%,0%,23.8%
Vayne,1,0,1,0%,1,2,0,0.5,226,8.58,9.2,351,100%,100%,22.8%
Yasuo,1,0,1,0%,2,3,2,1.33,301,8.6,12.9,369,80%,40%,22.6%
