,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sion,3,3,0,100%,1,1.33,8.33,7,238.67,6.97,11.8,345,56%,6%,18.4%
Kennen,3,2,1,66.7%,1.33,1,5.67,7,284.67,8.12,13.6,387,42.9%,8.2%,20.5%
Urgot,3,2,1,66.7%,3,1.33,4.67,5.75,263.33,7.73,12.9,379,67.6%,26.5%,21.4%
Jayce,2,2,0,100%,1.5,2.5,4,2.2,355,9.02,16.3,413,37.9%,10.3%,22%
Aatrox,1,1,0,100%,2,0,3,5,355,9.97,15.1,424,45.5%,18.2%,21.6%
Akali,1,1,0,100%,3,2,2,2.5,329,8.95,14.2,387,38.5%,23.1%,19.4%
Jarvan IV,1,1,0,100%,2,0,4,6,265,8.29,12.7,398,75%,25%,20.9%
Lissandra,1,1,0,100%,4,4,14,4.5,292,7.53,15.9,411,78.3%,17.4%,20.4%
Sylas,1,1,0,100%,2,0,4,6,337,9.1,14.9,404,60%,20%,21.8%
Vladimir,1,0,1,0%,2,3,0,0.67,221,6.69,10.1,307,50%,50%,19.2%
Yorick,1,0,1,0%,0,4,0,0,304,8.39,12.1,333,0%,0%,20.9%
