,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Vladimir,4,4,0,100%,4.5,1.25,5,7.6,243.25,8.08,12.1,401,57.6%,27.3%,21%
Jayce,2,2,0,100%,3.5,1.5,8,7.67,245,8.29,12.7,429,76.7%,23.3%,21.8%
Irelia,2,1,1,50%,4.5,3,7.5,4,256,7.54,13.3,392,82.8%,31%,22.4%
LeBlanc,2,1,1,50%,6,3,2,2.67,256.5,7.59,13.8,409,69.6%,52.2%,24.6%
Zoe,2,1,1,50%,3,4,4.5,1.88,282,7.53,13.3,355,60%,24%,21.8%
Swain,1,1,0,100%,0,1,10,10,371,8.68,15.6,365,71.4%,0%,20.7%
Akali,1,0,1,0%,6,4,6,3,212,6.21,11.6,340,85.7%,42.9%,19.9%
Cassiopeia,1,0,1,0%,0,4,2,0.5,322,9.6,12.2,364,50%,0%,23.8%
Corki,1,0,1,0%,0,2,1,0.5,313,9.56,11.8,361,50%,0%,23.6%
Lissandra,1,0,1,0%,1,2,0,0.5,210,8.75,8.5,356,25%,25%,23.6%
Syndra,1,0,1,0%,1,1,4,5,333,9.25,13.3,369,45.5%,9.1%,22.7%
