,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,4,2,2,50%,3.5,1.25,2.75,5,231.25,8.68,10.8,404,67.6%,37.8%,23.6%
Sylas,3,2,1,66.7%,4.33,4,7.33,2.92,292.67,8.24,14.5,407,67.3%,25%,21.9%
Corki,3,0,3,0%,0.67,3,2,0.89,266.67,8.9,11.5,384,53.3%,13.3%,24%
Aatrox,1,1,0,100%,6,2,6,6,326,8.13,16.8,418,44.4%,22.2%,21.5%
Pyke,1,1,0,100%,6,4,4,2.5,217,6.11,13.3,374,58.8%,35.3%,18.8%
Renekton,1,1,0,100%,3,0,5,8,243,7.39,12.4,377,57.1%,21.4%,20.2%
Ryze,1,1,0,100%,2,3,9,3.67,312,8.68,14.6,405,64.7%,11.8%,21.3%
Veigar,1,1,0,100%,9,0,2,11,359,9.62,17.8,477,84.6%,69.2%,25.8%
Akali,1,0,1,0%,3,3,4,2.33,235,6.59,12.5,351,41.2%,17.6%,20.7%
Neeko,1,0,1,0%,5,3,12,5.67,317,7.99,16,403,94.4%,27.8%,22.8%
Twisted Fate,1,0,1,0%,1,3,2,1,246,8.27,11,370,50%,16.7%,22.8%
