,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Akali,4,3,1,75%,3.5,1.75,3.5,4,286,9.04,12.9,406,47.5%,23.7%,21.4%
Corki,3,2,1,66.7%,3.67,0.67,3,10,292.33,10.42,12.6,449,69%,37.9%,24.7%
Azir,2,2,0,100%,5,1,7,12,316.5,9.26,15.2,444,70.6%,29.4%,23.5%
Sylas,2,1,1,50%,2,1.5,3.5,3.67,308,9.34,12.9,392,57.9%,21.1%,21.7%
Anivia,1,1,0,100%,5,1,4,9,256,8.38,12.2,399,52.9%,29.4%,21.2%
LeBlanc,1,1,0,100%,6,1,6,12,212,7.81,11,405,60%,30%,19.9%
Orianna,1,1,0,100%,2,2,12,7,311,8.43,14.3,388,82.4%,11.8%,21%
Ryze,1,1,0,100%,3,2,5,4,313,10.48,13.9,466,53.3%,20%,23.3%
Yasuo,1,1,0,100%,2,4,6,2,290,8.51,13.3,389,50%,12.5%,20.1%
Zoe,1,1,0,100%,7,1,6,13,340,7.88,16.8,390,65%,35%,21.8%
Twisted Fate,1,0,1,0%,1,4,0,0.25,231,8.06,10.9,381,25%,25%,22.6%
