,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,4,3,1,75%,3.75,2,3.75,3.75,234.5,7.85,11.5,385,50%,25%,20.6%
Ryze,3,2,1,66.7%,1.67,2.33,1.67,1.43,290.33,10.05,12.5,434,62.5%,31.3%,23.9%
Ekko,1,1,0,100%,5,0,5,10,299,10.79,13.6,489,55.6%,27.8%,23.4%
Irelia,1,1,0,100%,4,3,3,2.33,333,10.25,14.2,437,50%,28.6%,22%
Karthus,1,1,0,100%,0,2,8,4,347,8.46,15,366,72.7%,0%,19.9%
Vladimir,1,1,0,100%,6,3,4,3.33,235,8.48,12,434,55.6%,33.3%,21.4%
Akali,1,0,1,0%,2,3,0,0.67,222,7.78,9.7,340,33.3%,33.3%,21.4%
Fizz,1,0,1,0%,4,6,5,1.5,277,6.65,14.6,351,64.3%,28.6%,19.7%
Lissandra,1,0,1,0%,3,6,4,1.17,292,7.35,14.3,360,38.9%,16.7%,18.5%
Yasuo,1,0,1,0%,2,4,2,1,260,8.23,11.2,356,50%,25%,20.5%
Zoe,1,0,1,0%,1,2,2,1.5,234,8.17,9.7,338,33.3%,11.1%,20.8%
