,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,4,0,4,0%,1.25,2.5,5.25,2.6,175,4.57,11.1,289,81.3%,15.6%,17.4%
Rek'Sai,3,2,1,66.7%,1.67,2.33,6,3.29,189.33,5.4,11.9,340,63.9%,13.9%,18.3%
Olaf,3,1,2,33.3%,1.67,1,3,4.67,170.33,5.43,10.3,328,56%,20%,18.5%
Jarvan IV,3,0,3,0%,1.67,3.33,6.67,2.5,175.33,4.24,11.6,281,80.6%,16.1%,16.5%
Xin Zhao,2,0,2,0%,2,3,5,2.33,148.5,4.46,9.6,289,60.9%,17.4%,17.1%
Ivern,1,1,0,100%,1,0,13,14,125,4.5,9.2,331,82.4%,5.9%,17.6%
Camille,1,0,1,0%,0,2,7,3.5,141,4.21,9.2,273,100%,0%,17%
Kha'Zix,1,0,1,0%,2,2,3,2.5,172,4.82,10.7,300,71.4%,28.6%,19.2%
Trundle,1,0,1,0%,2,3,0,0.67,152,5.43,8.6,306,66.7%,66.7%,19.5%
Vi,1,0,1,0%,0,5,4,0.8,213,4.83,13.3,302,57.1%,0%,17.7%
Zac,1,0,1,0%,1,2,2,1.5,139,4.3,9.3,288,75%,25%,17.2%
