,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rakan,6,5,1,83.3%,1.17,1.33,11.67,9.63,23.83,0.64,10.1,273,74%,6.7%,14.8%
Lux,2,2,0,100%,1,0,14.5,31,24,0.64,10.1,268,73.8%,4.8%,13.8%
Tahm Kench,2,2,0,100%,1,0.5,3.5,9,62,2.17,7.4,257,40.9%,9.1%,13.9%
Thresh,2,2,0,100%,2,3,17,6.33,23.5,0.57,11.6,279,84.4%,8.9%,14.5%
Karma,2,1,1,50%,0,3,12.5,4.17,18,0.54,7.9,235,73.5%,0%,13.3%
Yuumi,2,1,1,50%,0.5,1,7.5,8,15,0.54,6.7,241,88.9%,5.6%,14.1%
Alistar,1,1,0,100%,0,2,11,5.5,68,2,9.3,274,52.4%,0%,13.4%
Braum,1,0,1,0%,0,4,0,0,49,2.05,5.2,220,0%,0%,14.8%
Galio,1,0,1,0%,0,4,4,1,67,2.03,7.5,227,100%,0%,14.3%
Pyke,1,0,1,0%,1,7,1,0.29,52,2.18,5.4,227,33.3%,16.7%,14.7%
Volibear,1,0,1,0%,0,3,1,0.33,60,2.26,5.8,218,50%,0%,15.3%
