,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Kai'Sa,4,2,2,50%,5.5,2,6.5,6,332,10.35,15.9,495,63.2%,28.9%,25.5%
Lucian,3,3,0,100%,5,1.67,7.67,7.6,289,9.85,14.5,494,62.3%,24.6%,24.3%
Ezreal,2,2,0,100%,5,2,7,6,233,8.82,12.5,474,61.5%,25.6%,23.4%
Draven,2,1,1,50%,2,3.5,5,2,373,9.29,17.2,429,46.7%,13.3%,24.5%
Jayce,1,1,0,100%,3,1,3,6,240,10.38,10.4,450,46.2%,23.1%,23.8%
Kalista,1,1,0,100%,6,2,8,7,441,11.1,19.9,502,66.7%,28.6%,25.5%
Xayah,1,1,0,100%,6,1,8,14,215,9.27,11.4,491,82.4%,35.3%,24.4%
Yasuo,1,1,0,100%,6,0,2,8,346,12.08,16.4,574,57.1%,42.9%,27.1%
Zoe,1,1,0,100%,7,3,10,5.67,218,8,12,442,89.5%,36.8%,22.2%
Cassiopeia,1,0,1,0%,3,2,8,5.5,468,9.73,20.9,434,73.3%,20%,23.5%
Sivir,1,0,1,0%,0,3,0,0,370,11.16,13.7,413,0%,0%,25.4%
