,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nocturne,4,1,3,25%,3.75,1,3.25,7,198,5.47,11.9,330,73.7%,39.5%,19.1%
Kha'Zix,2,2,0,100%,3.5,1.5,10,9,207,5.36,13.3,345,81.8%,21.2%,17.7%
Lee Sin,2,1,1,50%,1.5,1,4.5,6,218,4.84,13.7,305,85.7%,21.4%,17%
Rek'Sai,2,1,1,50%,1.5,2.5,4.5,2.4,174,5.82,9.9,333,92.3%,23.1%,19.1%
Sejuani,2,1,1,50%,0,2.5,6.5,2.6,171,4.81,10.3,291,65%,0%,16.8%
Camille,1,1,0,100%,4,1,7,11,163,5.01,11.4,351,64.7%,23.5%,17.9%
Kindred,1,1,0,100%,6,1,9,15,170,7.26,11.2,480,78.9%,31.6%,21.6%
Skarner,1,1,0,100%,0,4,7,1.75,164,4.04,11.3,279,53.8%,0%,15.1%
Jarvan IV,1,0,1,0%,0,3,9,3,204,4.54,12.8,285,81.8%,0%,16.1%
Nunu,1,0,1,0%,0,1,4,4,171,4.8,9.6,269,66.7%,0%,16.8%
Olaf,1,0,1,0%,0,1,0,0,157,5.44,8.1,281,-nan%,-nan%,18.4%
