,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Urgot,3,1,2,33.3%,3.67,1,4,7.67,314.67,8.05,15.2,388,67.6%,32.4%,22.1%
Aatrox,2,1,1,50%,2,0.5,3,10,462,9.71,21,441,50%,20%,23.7%
Riven,2,1,1,50%,5,2,2.5,3.75,360,9.02,18,450,68.2%,45.5%,25%
Jayce,2,0,2,0%,1,3,0,0.33,276,9.04,12,392,40%,40%,25.6%
Vladimir,2,0,2,0%,0.5,2,1.5,1,303.5,9.55,11.5,361,44.4%,11.1%,22.5%
Akali,1,1,0,100%,4,1,5,9,259,7.7,13.5,402,52.9%,23.5%,20.5%
Ryze,1,0,1,0%,1,2,2,1.5,308,10.74,12.4,432,100%,33.3%,27%
Sylas,1,0,1,0%,3,1,0,3,288,7.75,12.6,338,100%,100%,21.4%
Viktor,1,0,1,0%,1,4,3,1,294,8.4,13,371,80%,20%,22.4%
Yorick,1,0,1,0%,1,3,3,1.33,340,9.75,15.1,432,66.7%,16.7%,25.8%
