,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Vladimir,3,3,0,100%,4,1.33,5.67,7.25,286.33,8.48,14.3,424,54.7%,22.6%,21.4%
Urgot,3,1,2,33.3%,3.33,3.33,5.67,2.7,320,7.62,15.8,376,73%,27%,22.3%
Akali,2,2,0,100%,2.5,0.5,3,11,273.5,8.75,13.1,419,55%,25%,21.7%
Jayce,2,2,0,100%,0,1,1.5,1.5,275.5,8.62,12.5,390,27.3%,0%,21%
Sion,2,1,1,50%,3.5,2,4.5,4,264.5,6.61,13.5,336,72.7%,31.8%,19.8%
Irelia,1,1,0,100%,4,6,9,2.17,286,7.47,15.3,400,52%,16%,20.1%
Jax,1,1,0,100%,3,0,3,6,379,10.46,17.8,491,42.9%,21.4%,26.3%
Riven,1,1,0,100%,1,1,3,4,481,8.91,21.8,404,44.4%,11.1%,21.6%
Ryze,1,1,0,100%,0,4,0,0,525,10.44,22.3,444,0%,0%,24.5%
Aatrox,1,0,1,0%,2,2,4,3,299,9.04,13.6,411,85.7%,28.6%,24.2%
Neeko,1,0,1,0%,2,3,2,1.33,298,7.15,15.5,371,33.3%,16.7%,21.1%
