,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jayce,3,2,1,66.7%,5.67,3.67,7.33,3.55,308.67,7.96,16.3,421,67.2%,29.3%,22.7%
Aatrox,2,1,1,50%,2,2,3,2.5,264.5,8.13,11.8,363,58.8%,23.5%,21.2%
Gangplank,2,1,1,50%,2.5,2,6.5,4.5,250,7.02,13.8,389,75%,20.8%,21.6%
Irelia,2,1,1,50%,0.5,1,3,3.5,311,9.27,12.7,378,53.8%,7.7%,21.2%
Kennen,2,1,1,50%,2.5,2.5,5.5,3.2,237,7.75,11.9,390,57.1%,17.9%,22.2%
Azir,1,1,0,100%,5,3,2,2.33,300,7.94,15,398,58.3%,41.7%,21.1%
Camille,1,1,0,100%,2,2,2,2,345,8.73,16.1,408,50%,25%,23.4%
Kled,1,1,0,100%,3,2,11,7,338,7.49,17,377,87.5%,18.8%,21%
Poppy,1,1,0,100%,3,3,10,4.33,247,7.14,12.5,362,86.7%,20%,19.9%
Pyke,1,0,1,0%,1,2,0,0.5,200,8.04,8.1,324,20%,20%,20.6%
Rumble,1,0,1,0%,0,3,3,1,220,7.1,9.2,296,60%,0%,18.7%
Sylas,1,0,1,0%,0,4,0,0,269,8.8,11.1,365,0%,0%,23%
