,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Urgot,4,2,2,50%,1.75,2.5,3.5,2.1,219.25,7.28,10.8,358,63.6%,21.2%,19.9%
Sion,3,1,2,33.3%,1,1.67,4.33,3.2,214,6.92,9.7,313,43.2%,8.1%,18%
Aatrox,2,2,0,100%,4.5,2,4.5,4.5,289,8.77,14.3,435,62.1%,31%,22%
Jarvan IV,2,2,0,100%,3.5,0.5,3.5,14,254,8.81,12.6,437,58.3%,29.2%,22%
Gangplank,1,1,0,100%,1,3,5,2,289,6.01,17.4,361,35.3%,5.9%,19.8%
Jayce,1,1,0,100%,6,2,9,7.5,279,8.16,14.9,436,75%,30%,22.1%
Renekton,1,1,0,100%,1,4,3,1,189,7.66,8.8,357,25%,6.3%,16.9%
Yorick,1,1,0,100%,2,3,9,3.67,378,9.07,17.2,412,73.3%,13.3%,21.9%
Ornn,1,0,1,0%,0,2,2,1,136,6.61,5.9,289,50%,0%,19.7%
Poppy,1,0,1,0%,3,4,6,2.25,233,7.17,11.7,359,81.8%,27.3%,21.1%
Viktor,1,0,1,0%,2,4,3,1.25,284,7.4,13.5,351,71.4%,28.6%,21%
