,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,3,2,1,66.7%,4,3.33,7.33,3.4,262.67,7.52,13.1,374,64.2%,22.6%,20%
Zoe,3,2,1,66.7%,5,2.67,2.67,2.88,219,7.85,11.3,405,47.9%,31.3%,21.2%
Akali,2,2,0,100%,8,2,5.5,6.75,311,8.62,16.1,445,75%,44.4%,23.4%
Irelia,2,2,0,100%,3.5,2,3.5,3.5,276,10.65,12.2,472,45.2%,22.6%,22.8%
Aatrox,1,1,0,100%,5,2,6,5.5,213,8.83,10.8,449,50%,22.7%,20.5%
Jayce,1,1,0,100%,2,0,14,16,252,9.25,11.4,418,84.2%,10.5%,21%
Ryze,1,1,0,100%,7,2,4,5.5,383,9.64,18.3,462,52.4%,33.3%,23.5%
Urgot,1,1,0,100%,8,3,8,5.33,178,7.04,11.4,451,88.9%,44.4%,23.3%
Vladimir,1,1,0,100%,7,1,6,13,251,8.61,13.7,469,65%,35%,23.2%
Cassiopeia,1,0,1,0%,1,3,1,0.67,260,7.84,10.7,323,40%,20%,19.8%
Sylas,1,0,1,0%,8,4,5,3.25,279,8.39,14.5,435,59.1%,36.4%,22.3%
Zed,1,0,1,0%,4,6,3,1.17,379,7.88,18,374,46.7%,26.7%,20.3%
