,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Akali,4,2,2,50%,4.25,3,3.5,2.58,189.75,7.44,9.4,370,50.8%,27.9%,19.6%
Azir,3,2,1,66.7%,4,2.67,4,3,255.67,9.67,11.9,448,52.2%,26.1%,23.5%
Qiyana,2,2,0,100%,8,3.5,4.5,3.57,229.5,7.85,13.4,460,62.5%,40%,22.9%
Sylas,2,2,0,100%,6,2,7.5,6.75,248.5,9.67,12.7,493,69.2%,30.8%,23.7%
Corki,1,1,0,100%,7,0,7,14,215,8.96,12.5,522,77.8%,38.9%,26%
Draven,1,1,0,100%,14,7,8,3.14,210,7.79,17.1,633,44.9%,28.6%,25.4%
Neeko,1,1,0,100%,3,2,8,5.5,186,7.44,9.7,386,47.8%,13%,20.1%
Renekton,1,1,0,100%,9,1,2,11,237,9.06,13.9,530,57.9%,47.4%,26.6%
Syndra,1,1,0,100%,4,4,9,3.25,302,8.52,14.2,401,52%,16%,20%
Talon,1,1,0,100%,8,2,3,5.5,261,8.29,14.2,452,50%,36.4%,22%
Tristana,1,1,0,100%,5,4,2,1.75,186,7.5,10.5,423,29.2%,20.8%,20.3%
