,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lissandra,3,2,1,66.7%,5,2,10.33,7.67,331,8.67,16.8,441,74.2%,24.2%,22.9%
Syndra,3,0,3,0%,2.33,2.33,2.33,2,306.33,9.21,12.8,385,63.6%,31.8%,23.5%
Zoe,2,2,0,100%,5.5,1,6,11.5,284.5,7.92,14.6,407,69.7%,33.3%,22.5%
Viktor,2,1,1,50%,6,2,2.5,4.25,288,8.54,13.4,397,73.9%,52.2%,23.8%
Irelia,2,0,2,0%,0.5,2.5,0.5,0.4,265.5,8.85,10.5,351,33.3%,16.7%,22.5%
Akali,1,0,1,0%,2,2,0,1,243,7.43,10.5,322,50%,50%,20.8%
Azir,1,0,1,0%,2,3,5,2.33,311,8.58,14.1,389,70%,20%,22.6%
Cassiopeia,1,0,1,0%,3,3,9,4,274,6.8,13.7,341,70.6%,17.6%,21.7%
Jayce,1,0,1,0%,3,4,3,1.5,285,8.63,11.7,355,75%,37.5%,21.6%
LeBlanc,1,0,1,0%,1,2,2,1.5,272,8.1,11.6,345,50%,16.7%,19.5%
Ryze,1,0,1,0%,0,2,2,1,285,9.25,10.9,352,40%,0%,22.3%
