,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Kha'Zix,2,2,0,100%,3,1,5.5,8.5,187.5,6.21,11.3,374,47.2%,16.7%,18%
Sejuani,2,2,0,100%,2,0,12,28,139,5.09,9.7,355,84.8%,12.1%,17.1%
Zac,2,2,0,100%,1,2.5,9,4,163.5,5.18,10.5,334,51.3%,5.1%,16.6%
Evelynn,1,1,0,100%,8,2,3,5.5,237,7.42,14,438,68.8%,50%,20.6%
Gragas,1,1,0,100%,3,6,8,1.83,182,5.16,12.1,343,73.3%,20%,19%
Karthus,1,1,0,100%,6,1,9,15,164,7.06,11.2,480,75%,30%,21.6%
Kayn,1,1,0,100%,7,0,5,12,255,5.95,16.8,391,85.7%,50%,20.4%
Nocturne,1,1,0,100%,0,2,11,5.5,163,5.24,10.2,329,78.6%,0%,16.9%
Rek'Sai,1,1,0,100%,2,4,5,1.75,181,4.87,11.8,316,41.2%,11.8%,16.8%
Lee Sin,1,0,1,0%,1,3,2,1,208,5.71,11.5,315,100%,33.3%,19%
