,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lucian,3,2,1,66.7%,3.67,1.67,6,5.8,365,10.14,16.6,462,55.8%,21.2%,24.3%
Vayne,2,2,0,100%,6.5,1,5.5,12,369.5,9.53,18.3,473,57.1%,31%,24.2%
Draven,2,1,1,50%,1.5,1.5,4,3.67,325,9.37,15.3,440,73.3%,20%,25.1%
Ezreal,2,1,1,50%,6,0.5,4.5,21,359.5,9.9,16.8,463,84%,48%,25.3%
Sivir,2,1,1,50%,8.5,1,5.5,14,444.5,10.74,21.1,510,77.8%,47.2%,27.6%
Caitlyn,1,1,0,100%,5,1,6,11,381,9.98,17.5,457,68.8%,31.3%,24.4%
Jhin,1,1,0,100%,5,1,9,14,474,10.5,21,464,82.4%,29.4%,24.2%
Kai'Sa,1,1,0,100%,5,0,8,13,297,9.43,15.8,500,92.9%,35.7%,24.1%
Tristana,1,1,0,100%,3,0,1,4,287,10.66,12.6,469,40%,30%,24.6%
Jinx,1,0,1,0%,3,3,3,2,359,10.5,14.9,436,85.7%,42.9%,26.7%
Varus,1,0,1,0%,2,3,3,1.67,390,11.04,15.7,445,71.4%,28.6%,24.5%
Viktor,1,0,1,0%,2,3,6,2.67,351,8.78,15.9,397,57.1%,14.3%,22.1%
