,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Cassiopeia,3,3,0,100%,4,1,6,10,350.33,9.5,16.1,436,76.9%,30.8%,23.1%
Zoe,3,1,2,33.3%,4.33,2.33,3,3.14,296,8.27,13.7,383,62.9%,37.1%,22.8%
Jayce,2,2,0,100%,1.5,2,4,2.75,282.5,8.87,12.9,406,50%,13.6%,20.6%
Ryze,2,2,0,100%,0.5,1,1.5,2,337.5,10.08,14.5,432,26.7%,6.7%,22.4%
Swain,2,1,1,50%,7,3.5,5.5,3.57,307.5,9.03,15.3,450,80.6%,45.2%,24.3%
Syndra,2,1,1,50%,5.5,2,5.5,5.5,318,9.72,14.7,449,75.9%,37.9%,24.2%
Irelia,1,1,0,100%,3,2,4,3.5,329,9.23,14.3,401,77.8%,33.3%,21.5%
Urgot,1,1,0,100%,2,1,3,5,252,7.7,12.2,374,50%,20%,20%
Lissandra,1,0,1,0%,2,4,2,1,346,8.23,14.9,353,33.3%,16.7%,20.4%
Sylas,1,0,1,0%,3,2,0,1.5,247,9.08,10.2,376,60%,60%,23%
Yasuo,1,0,1,0%,0,3,2,0.67,205,7.82,8.5,325,50%,0%,20.5%
