,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Corki,7,5,2,71.4%,4.57,1.86,7.14,6.31,327.71,9.57,15.8,461,71.3%,27.8%,24.3%
LeBlanc,2,2,0,100%,3.5,1,8,11.5,276.5,7.89,14.2,406,82.1%,25%,21.7%
Neeko,2,1,1,50%,0.5,0.5,4.5,10,264.5,8.81,11.1,370,34.5%,3.4%,19%
Irelia,1,1,0,100%,2,0,4,6,299,9.13,13.7,418,60%,20%,22.3%
Jayce,1,1,0,100%,7,3,5,4,340,7.56,19.4,430,66.7%,38.9%,23.3%
Nautilus,1,1,0,100%,1,2,8,4.5,236,7.27,11.9,367,90%,10%,19.8%
Sylas,1,1,0,100%,5,1,3,8,291,8.41,14.9,431,88.9%,55.6%,23%
Syndra,1,1,0,100%,2,0,4,6,300,9.4,13.9,434,54.5%,18.2%,22%
Yasuo,1,1,0,100%,2,2,6,4,285,8.73,14,428,53.3%,13.3%,22%
Cassiopeia,1,0,1,0%,1,3,6,2.33,320,8.22,14.3,367,87.5%,12.5%,22.1%
