,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Irelia,3,3,0,100%,5.33,1,7.67,13,262,8.46,13.4,431,73.6%,30.2%,21.6%
Akali,2,2,0,100%,6.5,1,7.5,14,223,7.62,12.4,424,57.1%,26.5%,20.9%
Azir,2,1,1,50%,2.5,2,5,3.75,288,8.04,13.9,388,68.2%,22.7%,22.6%
Sylas,2,1,1,50%,4.5,3,6.5,3.67,288.5,8.12,14.5,408,75.9%,31%,22.7%
Twisted Fate,2,1,1,50%,3.5,2,6,4.75,203,6.99,11.8,407,70.4%,25.9%,22.9%
Veigar,2,1,1,50%,5,1,4.5,9.5,358.5,9.08,17,431,65.5%,34.5%,25%
Vladimir,2,1,1,50%,2,3,7.5,3.17,244.5,7.6,11,341,79.2%,16.7%,20.6%
Yasuo,2,1,1,50%,4,2.5,4.5,3.4,316.5,8.89,14.7,414,63%,29.6%,22.5%
Qiyana,1,1,0,100%,6,1,6,12,208,7.26,11.8,412,85.7%,42.9%,22.1%
Taliyah,1,1,0,100%,3,1,3,6,188,7.62,9.3,376,60%,30%,19.2%
