,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rumble,3,3,0,100%,1.67,2.33,10.33,5.14,267.67,7.03,13.3,349,61%,8.5%,18.8%
Kennen,3,0,3,0%,1.67,4.67,2.33,0.86,223.33,6.86,10.7,329,50%,20.8%,20.3%
Aatrox,2,1,1,50%,1,2.5,4.5,2.2,266.5,8.61,11.9,385,47.8%,8.7%,21.4%
Karma,2,1,1,50%,1.5,4,7,2.13,213,6.39,11.5,344,85%,15%,19.3%
Neeko,2,1,1,50%,2,5,7.5,1.9,240.5,6.93,11.8,340,61.3%,12.9%,18.6%
Gangplank,1,1,0,100%,2,1,14,16,310,9.28,15.9,476,59.3%,7.4%,22%
Gnar,1,1,0,100%,0,3,8,2.67,303,7.73,14.4,367,57.1%,0%,19.7%
Jax,1,1,0,100%,5,1,7,12,251,8.92,12.9,458,46.2%,19.2%,21.2%
Kled,1,1,0,100%,1,3,3,1.33,230,6.98,11.9,361,36.4%,9.1%,18.9%
Mordekaiser,1,1,0,100%,3,1,4,7,216,6.72,11.6,362,30.4%,13%,18.4%
Irelia,1,0,1,0%,2,4,9,2.75,260,7.64,12.2,357,64.7%,11.8%,20.2%
