,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,3,2,1,66.7%,4.33,1.33,5,7,339.67,9.16,16.8,454,50.9%,23.6%,24.3%
Veigar,2,2,0,100%,8,2.5,7,6,259,7.91,14.8,450,73.2%,39%,23.2%
Sivir,2,0,2,0%,0.5,3,2.5,1,305,9.25,12,365,42.9%,7.1%,22.8%
Kog'Maw,1,1,0,100%,9,1,9,18,307,8.94,17.3,503,78.3%,39.1%,25.7%
Lucian,1,1,0,100%,9,2,8,8.5,213,7.7,13.3,480,60.7%,32.1%,22.8%
Sona,1,1,0,100%,5,4,12,4.25,149,3.6,16.4,397,81%,23.8%,21.2%
Ashe,1,0,1,0%,4,6,5,1.5,281,7.76,14.5,400,56.3%,25%,23.1%
Caitlyn,1,0,1,0%,2,3,4,2,303,8.12,15.3,410,50%,16.7%,24.1%
Kai'Sa,1,0,1,0%,0,0,0,0,217,8.67,8.1,323,-nan%,-nan%,23.7%
Tristana,1,0,1,0%,10,7,8,2.57,266,7.01,17.5,461,54.5%,30.3%,24.1%
