,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gragas,5,5,0,100%,2.2,1,7.6,9.8,179.4,5.44,11.2,339,70%,15.7%,17.7%
Elise,4,4,0,100%,3.25,2.5,5,3.3,200,5.64,12.6,354,62.3%,24.5%,18.7%
Xin Zhao,2,1,1,50%,1,1.5,6.5,5,181.5,4.36,12.8,306,62.5%,8.3%,16.8%
Ivern,1,1,0,100%,0,2,11,5.5,139,4.21,9.4,284,91.7%,0%,15.8%
Karthus,1,1,0,100%,3,1,4,7,195,6.34,11,358,58.3%,25%,17.8%
Camille,1,0,1,0%,0,2,2,1,185,5.58,9.4,284,50%,0%,19.1%
Jarvan IV,1,0,1,0%,4,5,9,2.6,180,5.42,11.6,349,100%,30.8%,19.9%
Kayn,1,0,1,0%,2,3,2,1.33,160,5.88,9.4,346,80%,40%,21.2%
Poppy,1,0,1,0%,1,1,3,4,122,4.66,7.5,286,100%,25%,18%
Sejuani,1,0,1,0%,1,0,4,5,151,4.54,10,302,55.6%,11.1%,16.5%
Zac,1,0,1,0%,1,3,2,1,184,4.71,10.9,279,60%,20%,16.7%
