,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jarvan IV,3,3,0,100%,2.67,0.67,8.33,16.5,263,9.25,12.6,443,60%,14.5%,21.3%
Irelia,3,1,2,33.3%,2.67,4,4.67,1.83,297.67,8.72,13.8,403,43.1%,15.7%,21.5%
Jayce,2,2,0,100%,4,2.5,9.5,5.4,264.5,8.73,13.6,449,61.4%,18.2%,21.8%
Camille,2,1,1,50%,4,4,5.5,2.38,319.5,8.48,15.9,423,52.8%,22.2%,22.8%
Akali,1,1,0,100%,4,2,2,3,200,8.29,9.6,396,27.3%,18.2%,18.1%
Karma,1,1,0,100%,2,1,9,11,165,7.12,9.2,398,64.7%,11.8%,19.7%
Sejuani,1,1,0,100%,3,3,7,3.33,339,7.6,17.1,383,66.7%,20%,21.6%
Urgot,1,1,0,100%,4,0,4,8,246,9.03,12.1,444,42.1%,21.1%,22.3%
Viktor,1,1,0,100%,3,1,4,7,198,7.83,9.8,386,38.9%,16.7%,19.9%
Yorick,1,1,0,100%,1,1,4,5,210,9.08,9,389,38.5%,7.7%,20.5%
Ryze,1,0,1,0%,6,1,6,12,457,9.5,23.5,488,80%,40%,26.4%
Sylas,1,0,1,0%,1,4,2,0.75,279,8.42,12.7,382,60%,20%,23.4%
