,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Viktor,3,3,0,100%,3,3,5,2.67,261.67,8.37,12.6,405,41.4%,15.5%,20.1%
Kled,2,2,0,100%,1.5,1,6.5,8,179.5,7.45,9.3,386,43.2%,8.1%,18.2%
Neeko,2,2,0,100%,3,0,8.5,23,205.5,8.4,10.9,446,60.5%,15.8%,21.7%
Akali,1,1,0,100%,7,0,5,12,205,8.24,12.3,494,50%,29.2%,23.4%
Annie,1,1,0,100%,5,0,10,15,220,8.87,11.4,459,62.5%,20.8%,22.1%
Gnar,1,1,0,100%,0,3,6,2,166,7.46,7.4,330,35.3%,0%,15.7%
Karma,1,1,0,100%,3,1,9,12,174,8.34,8.6,411,48%,12%,18.6%
Quinn,1,1,0,100%,13,4,13,6.5,195,7.24,14.4,536,53.1%,26.5%,21.5%
Soraka,1,1,0,100%,0,2,11,5.5,179,6.78,9,341,50%,0%,16.6%
Vladimir,1,1,0,100%,3,3,7,3.33,302,8.52,14.1,397,40%,12%,19.8%
Yorick,1,1,0,100%,8,1,5,13,202,8.07,11.8,472,56.5%,34.8%,24.6%
Garen,1,0,1,0%,0,4,0,0,197,6.86,8.1,281,0%,0%,18.8%
Irelia,1,0,1,0%,3,6,2,0.83,235,8.77,10.7,400,45.5%,27.3%,23.6%
Kha'Zix,1,0,1,0%,1,4,3,1,246,7.65,10.5,327,50%,12.5%,19.5%
