,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Orianna,2,2,0,100%,2,0.5,5,14,309.5,9.71,13.8,432,66.7%,19%,22.7%
Swain,2,2,0,100%,2.5,1,7,9.5,275,9.15,12.3,408,67.9%,17.9%,20.5%
Yasuo,2,2,0,100%,4.5,3,5.5,3.33,312,9.29,14.5,431,57.1%,25.7%,21.6%
LeBlanc,2,1,1,50%,1,2,2.5,1.75,239.5,8.15,10.2,347,58.3%,16.7%,20.1%
Corki,1,1,0,100%,3,0,3,6,327,11.12,13.5,459,35.3%,17.6%,23.9%
Sylas,1,1,0,100%,0,1,6,6,280,8.36,12.3,368,54.5%,0%,20.4%
Syndra,1,1,0,100%,2,1,3,5,287,9.08,12.6,400,41.7%,16.7%,20.4%
Vayne,1,1,0,100%,4,1,4,8,289,9.93,14.5,498,72.7%,36.4%,25.7%
Zed,1,1,0,100%,5,1,4,9,298,8.99,15,452,52.9%,29.4%,22.8%
Cassiopeia,1,0,1,0%,0,3,1,0.33,221,8.12,8.6,316,20%,0%,20.1%
Galio,1,0,1,0%,3,3,4,2.33,250,8.01,10.8,345,87.5%,37.5%,20.9%
Malzahar,1,0,1,0%,3,1,4,7,408,9.44,17.5,406,87.5%,37.5%,25.9%
Ryze,1,0,1,0%,1,2,1,1,288,9.15,11.3,358,66.7%,33.3%,22.9%
Zoe,1,0,1,0%,0,2,5,2.5,362,8.43,14.4,334,55.6%,0%,19.3%
