,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,12,10,2,83.3%,3.83,1.17,7.83,10,283.33,8.04,13.9,395,75.3%,24.7%,21.5%
Azir,12,8,4,66.7%,3.83,1.5,4.33,5.44,306.42,9.28,13.8,417,71.5%,33.6%,23.6%
Galio,4,2,2,50%,3.75,1.25,5.75,7.6,276.75,7.67,13,362,80.9%,31.9%,21.1%
Pantheon,3,3,0,100%,3.33,1,6,9.33,237.67,8.29,11.9,416,62.2%,22.2%,21.4%
LeBlanc,2,2,0,100%,4,1.5,8,8,247.5,7.65,12.8,396,80%,26.7%,21.3%
Zilean,2,2,0,100%,2.5,0.5,10.5,26,300.5,7.66,14.1,360,89.7%,17.2%,21.2%
Sylas,2,1,1,50%,3,2.5,5,3.2,242,8.33,11.1,381,80%,30%,21.7%
Akali,1,1,0,100%,4,2,6,5,260,7.53,12.6,364,76.9%,30.8%,20.1%
Neeko,1,1,0,100%,1,2,6,3.5,235,8.9,9.9,376,63.6%,9.1%,20.5%
Sett,1,1,0,100%,4,0,4,8,254,8.94,12.3,432,53.3%,26.7%,21.5%
Cassiopeia,1,0,1,0%,0,1,2,2,239,8.81,9.2,339,100%,0%,22.1%
Syndra,1,0,1,0%,0,3,2,0.67,210,7.21,9,308,100%,0%,20.8%
Taliyah,1,0,1,0%,2,1,1,3,321,7.35,14.4,330,75%,50%,21.3%
Yasuo,1,0,1,0%,1,2,1,1,329,8.93,13.4,363,100%,50%,23.3%
