,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Camille,9,7,2,77.8%,3.89,1.67,5.22,5.47,263.56,8.59,13.2,430,64.1%,27.3%,22.8%
Jayce,7,5,2,71.4%,4.71,2.14,6,5,315.71,9.27,15.2,446,60%,26.4%,23.6%
Kennen,5,3,2,60%,2.8,2.2,6.6,4.27,317.8,8.22,14.5,375,64.4%,19.2%,20.8%
Wukong,3,3,0,100%,4.67,1.33,5,7.25,331.33,9.94,15.6,469,64.4%,31.1%,24.2%
Ornn,3,2,1,66.7%,1.67,0.67,4.67,9.5,221,7.82,10.4,367,51.4%,13.5%,20.2%
Mordekaiser,3,1,2,33.3%,1.67,2.33,2,1.57,252.67,8.25,10.6,346,40.7%,18.5%,20.6%
Renekton,2,2,0,100%,3,1,11.5,14.5,303,8.71,15.2,436,69%,14.3%,22.4%
Sylas,2,2,0,100%,3,1,6.5,9.5,277.5,8.55,13.6,418,73.1%,23.1%,22.1%
Vladimir,2,2,0,100%,4,0.5,6,20,346,10.89,15.7,493,64.5%,25.8%,24.2%
Lucian,1,1,0,100%,8,0,5,13,318,10.08,15.2,483,68.4%,42.1%,25.3%
Aatrox,1,0,1,0%,1,1,1,2,306,9.07,13,385,100%,50%,24.5%
Jax,1,0,1,0%,3,3,1,1.33,236,7.58,11.9,381,30.8%,23.1%,21.4%
Karma,1,0,1,0%,1,5,6,1.4,215,5.97,10.3,288,87.5%,12.5%,18.1%
Kayle,1,0,1,0%,2,0,1,3,348,10.51,15.4,466,60%,40%,26.2%
Quinn,1,0,1,0%,1,2,1,1,286,9.53,13,434,50%,25%,24.7%
