,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ornn,10,5,5,50%,1.1,1.8,5.7,3.78,233.5,7.13,10.9,334,71.6%,11.6%,19.6%
Sett,5,4,1,80%,1.8,0.8,2.6,5.5,268.6,8.45,12.7,399,45.8%,18.8%,21.8%
Renekton,4,3,1,75%,2.25,0.75,6.75,12,311.75,8.09,14.8,384,65.5%,16.4%,21.4%
Jayce,3,3,0,100%,3.33,1.67,6,5.6,287.33,8.85,13.8,426,71.8%,25.6%,22.9%
Sylas,3,3,0,100%,6,1.67,6.33,7.4,197.67,6.77,12.1,414,75.5%,36.7%,21.3%
Gangplank,3,2,1,66.7%,2.67,1.33,10.33,9.75,287,8.09,14.8,419,81.3%,16.7%,23.1%
Lucian,2,2,0,100%,3,1.5,5,5.33,271,9.06,12.1,406,59.3%,22.2%,21%
Soraka,2,2,0,100%,2,0.5,10,24,170.5,5.54,9.9,322,80%,13.3%,17.6%
Aatrox,2,1,1,50%,1.5,0.5,5.5,14,331.5,7.31,16.1,355,66.7%,14.3%,21.2%
Rumble,2,1,1,50%,2.5,1.5,5.5,5.33,182,7.35,9,365,80%,25%,20.8%
Camille,1,1,0,100%,4,2,4,4,257,8.13,13,412,80%,40%,22.8%
Karma,1,1,0,100%,2,1,12,14,257,7.2,12.1,338,63.6%,9.1%,17.7%
Akali,1,0,1,0%,3,2,1,2,285,7.34,13.4,345,50%,37.5%,20.2%
Kled,1,0,1,0%,0,1,1,1,250,8.06,10,321,100%,0%,21.1%
