,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,10,9,1,90%,3.4,2.1,5.7,4.33,323,9.95,14.6,451,60.7%,22.7%,23.3%
Twisted Fate,8,5,3,62.5%,2.25,1.63,5.25,4.62,324.63,10.21,14.9,469,76.9%,23.1%,25.4%
Sett,4,3,1,75%,3,0.75,6.25,12.33,274.75,8.72,12.6,399,52.9%,17.1%,20.8%
Sylas,4,3,1,75%,4.5,2.5,4.75,3.7,291.25,8.98,13.8,424,51.4%,25%,22.5%
Corki,3,3,0,100%,4.67,0.67,6.33,16.5,338,11.52,14.9,508,71.7%,30.4%,25.4%
Lucian,3,2,1,66.7%,2.33,2.33,4.67,3,363.33,10.55,15,434,70%,23.3%,23.9%
Galio,3,1,2,33.3%,3,3.67,4.33,2,301.67,9.05,12.8,383,73.3%,30%,22.6%
LeBlanc,2,2,0,100%,5,2,10,7.5,251.5,8.5,13.1,443,68.2%,22.7%,21.1%
Gragas,1,1,0,100%,4,4,9,3.25,300,7.57,15.4,389,92.9%,28.6%,22.1%
Irelia,1,1,0,100%,7,1,6,13,379,12.58,16.9,563,48.1%,25.9%,26.8%
Morgana,1,1,0,100%,5,1,10,15,272,7.85,13.7,396,88.2%,29.4%,20.9%
Ziggs,1,1,0,100%,5,0,2,7,393,11.87,16.7,505,70%,50%,26.5%
Akali,1,0,1,0%,2,3,5,2.33,363,10.15,14.7,412,63.6%,18.2%,23.4%
Camille,1,0,1,0%,0,8,0,0,229,7.73,9.1,308,0%,0%,21.1%
Ekko,1,0,1,0%,6,4,3,2.25,367,9.48,17.6,455,75%,50%,25.2%
Orianna,1,0,1,0%,1,2,2,1.5,345,10.01,13.8,400,100%,33.3%,24.6%
