,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,10,5,5,50%,3,1.5,5.6,5.73,278.3,8.11,13.1,382,69.4%,24.2%,21.9%
Azir,9,4,5,44.4%,1.67,1.78,4.56,3.5,289,8.94,12.5,388,72.7%,19.5%,23.1%
Ekko,3,1,2,33.3%,3.67,2,2.33,3,322.33,9.29,14.1,405,60%,36.7%,23.8%
Ryze,2,1,1,50%,2.5,2,5,3.75,248,8.95,11.2,405,62.5%,20.8%,22.7%
Syndra,2,1,1,50%,0,0.5,1,2,271.5,8.61,10.9,346,20%,0%,22%
Sylas,2,0,2,0%,1,4.5,0.5,0.33,181.5,6.84,8,303,60%,40%,20.8%
Viktor,2,0,2,0%,3.5,3.5,1.5,1.43,331,8.65,14.7,384,58.8%,41.2%,24.1%
Aatrox,1,1,0,100%,2,0,7,9,288,7.26,14.6,367,36%,8%,19.4%
Ornn,1,1,0,100%,4,1,5,9,246,7.62,11.8,365,75%,33.3%,21.1%
Yasuo,1,1,0,100%,2,1,6,8,283,8.55,13,394,72.7%,18.2%,21.6%
Akali,1,0,1,0%,0,3,4,1.33,256,7.05,11.4,314,44.4%,0%,18.9%
Cassiopeia,1,0,1,0%,2,1,0,2,251,8.38,10.6,353,66.7%,66.7%,22.6%
Corki,1,0,1,0%,0,3,0,0,223,9.15,8.7,356,0%,0%,23.8%
Diana,1,0,1,0%,0,4,1,0.25,247,6.82,10.7,295,33.3%,0%,18.3%
