,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nautilus,14,9,5,64.3%,0.86,2.36,7.5,3.55,39.07,1.21,7.5,234,58.8%,6%,12.5%
Thresh,5,3,2,60%,0.8,1.4,7,5.57,42.4,1.15,8.2,223,69.6%,7.1%,12.5%
Rakan,4,3,1,75%,0.75,2.5,8.75,3.8,52.5,1.5,8.5,244,74.5%,5.9%,13.3%
Leona,4,2,2,50%,0.75,4,7.75,2.13,42,1.28,7.3,221,57.6%,5.1%,12.4%
Blitzcrank,3,3,0,100%,1,2.33,9,4.29,33,1.18,7.4,263,54.5%,5.5%,13.2%
Braum,2,1,1,50%,0.5,2.5,9,3.8,32.5,0.86,8.5,226,70.4%,3.7%,13%
Sett,2,1,1,50%,1.5,2.5,3.5,2,49.5,1.53,7.8,241,47.6%,14.3%,13.2%
Alistar,1,1,0,100%,0,1,18,18,26,1.03,6.9,271,85.7%,0%,12.4%
Bard,1,1,0,100%,1,0,12,13,38,1.51,7,278,92.9%,7.1%,14.3%
Karma,1,1,0,100%,1,2,9,5,27,0.68,9.2,229,83.3%,8.3%,12.7%
Pantheon,1,1,0,100%,1,1,5,6,39,1.54,5.9,234,46.2%,7.7%,12.7%
Shen,1,1,0,100%,1,2,17,9,64,1.65,9.9,255,78.3%,4.3%,13%
Yuumi,1,0,1,0%,0,1,4,4,31,1.12,5.5,200,80%,0%,12.9%
