,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,10,7,3,70%,3.6,1.5,5.5,6.07,315.1,9.52,14.4,434,68.4%,27.1%,23.7%
LeBlanc,6,5,1,83.3%,3.33,0.67,5.33,13,298,8.01,13.8,372,77.6%,29.9%,21.5%
Akali,3,3,0,100%,5,0.33,4,27,287.67,9.82,13.5,460,51.9%,28.8%,23%
Rumble,3,2,1,66.7%,1.33,1.67,6,4.4,312.67,8.45,13.6,367,66.7%,12.1%,20.8%
Viktor,3,2,1,66.7%,2.33,1.67,3,3.2,340.67,9.77,14.2,406,61.5%,26.9%,23.6%
Ornn,2,2,0,100%,2,0.5,11,26,286.5,8.26,13.1,379,78.8%,12.1%,20.5%
Tristana,2,2,0,100%,1.5,0.5,3,9,358,9.62,16.1,434,52.9%,17.6%,23.5%
Cassiopeia,2,1,1,50%,3,3,3,2,285,7.89,13.6,377,70.6%,35.3%,22.1%
Orianna,2,1,1,50%,5,1,6,11,305,9.15,14,420,95.7%,43.5%,24.3%
Zoe,2,0,2,0%,3,1,1,4,258.5,8.63,10.7,357,72.7%,54.5%,23.3%
Diana,1,1,0,100%,3,1,6,9,276,8.72,12.7,400,56.3%,18.8%,21.2%
Ekko,1,1,0,100%,0,3,9,3,340,9.1,14.7,394,52.9%,0%,20.7%
Lucian,1,1,0,100%,4,1,9,13,302,9.13,15.3,464,81.3%,25%,24.1%
Neeko,1,1,0,100%,1,0,5,6,240,10.09,10,421,42.9%,7.1%,21.3%
Syndra,1,1,0,100%,2,0,4,6,278,8.7,12.3,386,50%,16.7%,20.5%
Aatrox,1,0,1,0%,0,3,1,0.33,335,8.95,12.8,341,16.7%,0%,21.3%
Kassadin,1,0,1,0%,3,3,6,3,361,9.64,15.6,416,90%,30%,24.3%
Pantheon,1,0,1,0%,3,5,2,1,210,7.19,9.4,322,62.5%,37.5%,20.3%
Sett,1,0,1,0%,0,4,3,0.75,326,7.76,13.4,319,33.3%,0%,19.4%
