,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,6,6,0,100%,4,2.17,6.83,5,335.83,9.68,15.6,449,59.1%,21.8%,22.5%
Twisted Fate,4,3,1,75%,3.75,0.25,7.75,46,284.5,9.76,14.2,486,76.7%,25%,24.4%
Zoe,3,2,1,66.7%,1.67,1.67,3.33,3,236.67,8.6,10.4,378,50%,16.7%,20.8%
Karma,3,1,2,33.3%,1.67,1.67,5,4,288.67,8.88,12.2,376,69%,17.2%,21.6%
LeBlanc,2,1,1,50%,3.5,2,3,3.25,388.5,8.09,18.5,386,56.5%,30.4%,22.8%
Neeko,2,0,2,0%,1,2.5,5.5,2.6,265,8.02,11.5,347,65%,10%,21.2%
Orianna,2,0,2,0%,1,1.5,1.5,1.67,259,9.22,10.1,360,83.3%,33.3%,23.2%
Corki,1,1,0,100%,8,2,6,7,325,9.43,16.5,479,77.8%,44.4%,24.6%
Lissandra,1,1,0,100%,2,2,7,4.5,245,8.77,12.1,433,69.2%,15.4%,21.9%
Sett,1,1,0,100%,2,2,6,4,230,8.7,11.1,419,47.1%,11.8%,20.7%
Akali,1,0,1,0%,2,3,2,1.33,305,8.48,12.7,354,50%,25%,22.2%
Galio,1,0,1,0%,0,4,4,1,326,8.55,12.8,336,80%,0%,20.9%
Lulu,1,0,1,0%,0,2,10,5,357,7.19,16.1,325,83.3%,0%,19.7%
