,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Yuumi,7,6,1,85.7%,1.57,0.57,11,22,25,0.75,8.3,250,80%,10%,13%
Bard,5,5,0,100%,1,1.6,13.2,8.88,43.4,1.34,8.2,253,80.7%,5.7%,13%
Braum,5,4,1,80%,0.8,1.4,13,9.86,35.4,1.12,7.6,240,82.1%,4.8%,12.7%
Nautilus,4,3,1,75%,0.75,2.5,6,2.7,38.5,1.31,7,240,49.1%,5.5%,12.4%
Leona,3,2,1,66.7%,0,2.33,7.67,3.29,47.67,1.35,8.1,229,62.2%,0%,12.1%
Lux,2,2,0,100%,2,1,9.5,11.5,41.5,1.14,9.1,250,76.7%,13.3%,13%
Morgana,2,2,0,100%,2,2,11,6.5,26,0.76,9.2,268,56.5%,8.7%,12.9%
Sett,2,2,0,100%,2,0.5,6.5,17,131,4.45,9.3,316,58.6%,13.8%,15.9%
Rakan,2,1,1,50%,0,1.5,6,4,37,1.12,7,212,80%,0%,11.7%
Karma,2,0,2,0%,1,2.5,5.5,2.6,51.5,1.41,8.1,220,86.7%,13.3%,12.8%
Pantheon,2,0,2,0%,0.5,4.5,4.5,1.11,50.5,1.46,7.2,209,66.7%,6.7%,12.8%
Alistar,1,1,0,100%,0,3,9,3,28,0.9,6.9,221,69.2%,0%,11.5%
Kayle,1,1,0,100%,1,2,11,6,41,1.61,6.6,260,100%,8.3%,13.1%
Pyke,1,1,0,100%,5,3,8,4.33,46,1.35,11.8,347,76.5%,29.4%,17.5%
Tahm Kench,1,1,0,100%,0,3,13,4.33,34,1.1,7.3,235,59.1%,0%,12.3%
Zilean,1,1,0,100%,0,0,10,10,35,1.09,7.5,235,100%,0%,13%
Gragas,1,0,1,0%,1,2,6,3.5,36,1.1,7.5,229,63.6%,9.1%,13.3%
Senna,1,0,1,0%,0,4,2,0.5,22,0.74,6.3,212,66.7%,0%,14.5%
Taric,1,0,1,0%,0,3,1,0.33,34,1.18,5.6,196,33.3%,0%,11.8%
Wukong,1,0,1,0%,0,1,0,0,269,8.73,10.6,344,0%,0%,22.1%
